"CO2: ppm,","TVOC: ppb,",Time
728,49,49029

733,50,49030

742,52,49031

746,52,49032

778,57,49033

763,55,49034

770,56,49035

785,58,49036

795,60,49037

825,64,49038

834,66,49039

808,62,49040

825,64,49041

882,73,49042

868,71,49043

863,70,49044

863,70,49045

897,75,49046

918,78,49047

863,70,49048

868,71,49049

927,80,49050

967,86,49051

959,85,49052

995,90,49053

995,90,49054

1017,93,49055

990,89,49056

995,90,49057

918,78,49058

825,64,49059

804,61,49060

795,60,49061

795,60,49062

785,58,49063

804,61,49064

844,67,49065

897,75,49066

907,77,49067

927,80,49068

949,83,49069

959,85,49070

949,83,49071

949,83,49072

935,81,49073

949,83,49074

935,81,49075

935,81,49076

918,78,49077

897,75,49078

907,77,49079

868,71,49080

882,73,49081

844,67,49082

834,66,49083

844,67,49084

868,71,49085

868,71,49086

844,67,49087

851,68,49088

851,68,49089

825,64,49090

804,61,49091

770,56,49092

746,52,49093

638,36,59293

645,37,59301

645,37,59305

645,37,59306

665,40,59307

679,42,59308

694,44,59309

679,42,59310

